iter	Passed	Remaining
0	164	81951
1	185	46134
2	206	34202
3	228	28279
4	249	24722
5	270	22309
6	292	20579
7	314	19325
8	335	18282
9	357	17503
10	377	16771
11	398	16204
12	419	15706
13	440	15294
14	460	14902
15	482	14600
16	503	14306
17	525	14066
18	546	13837
19	566	13591
20	587	13391
21	608	13225
22	630	13065
23	650	12904
24	672	12774
25	693	12649
26	714	12522
27	735	12404
28	758	12314
29	779	12209
30	801	12127
31	821	12013
32	843	11938
33	865	11862
34	886	11779
35	907	11693
36	928	11620
37	949	11544
38	971	11487
39	992	11418
40	1014	11354
41	1034	11278
42	1055	11218
43	1076	11160
44	1097	11100
45	1117	11030
46	1141	11002
47	1168	11007
48	1192	10976
49	1212	10911
50	1233	10856
51	1253	10797
52	1273	10738
53	1293	10686
54	1314	10639
55	1334	10584
56	1356	10538
57	1376	10491
58	1397	10443
59	1418	10400
60	1439	10361
