iter	Passed	Remaining
0	175	87454
1	196	48996
2	217	36045
3	236	29272
4	256	25347
5	273	22553
6	293	20705
7	312	19239
8	330	18025
9	348	17097
10	368	16362
11	386	15735
12	404	15162
13	422	14663
14	440	14236
15	458	13854
16	476	13539
17	494	13239
18	512	12968
19	529	12711
20	547	12482
21	564	12268
22	583	12101
23	605	12001
24	627	11917
25	646	11784
26	666	11668
27	685	11547
28	705	11459
29	726	11386
30	745	11282
31	764	11179
32	782	11070
33	800	10966
34	818	10880
35	838	10801
36	855	10709
37	874	10627
38	892	10545
39	909	10461
40	928	10393
41	945	10314
42	963	10241
43	981	10176
44	999	10109
45	1018	10051
46	1036	9993
47	1054	9931
48	1072	9868
49	1089	9809
50	1111	9782
51	1133	9768
52	1156	9752
53	1177	9721
54	1196	9677
55	1216	9644
56	1235	9605
57	1254	9561
58	1274	9526
59	1295	9499
60	1315	9464
61	1334	9430
62	1354	9396
63	1373	9359
64	1393	9324
65	1414	9298
66	1437	9287
67	1459	9274
68	1482	9259
69	1504	9244
70	1526	9224
71	1548	9205
72	1569	9182
73	1590	9157
74	1612	9134
75	1633	9114
76	1657	9108
77	1679	9088
78	1701	9066
79	1722	9043
80	1742	9013
81	1762	8984
82	1782	8955
83	1802	8924
84	1822	8896
85	1841	8864
86	1861	8835
87	1881	8807
88	1901	8779
89	1920	8749
90	1938	8711
91	1956	8676
92	1973	8638
93	1991	8600
94	2008	8564
95	2026	8529
96	2045	8496
97	2063	8465
98	2081	8432
99	2100	8402
100	2118	8368
101	2137	8341
102	2157	8317
103	2176	8288
